session_id,date,day,start_hour,duration_min,interruptions,meeting_overlap,caffeine,focus,energy,tasks_completed,bugs_introduced,productivity
S104,2026-04-01,Wednesday,13,93,2,0,0.0,7.0,6.0,6,1,78.9
S381,2026-04-01,Wednesday,13,124,2,0,1.0,6.0,5.0,7,1,87.6
S303,2026-04-02,Thursday,18,74,1,0,0.0,6.0,5.0,7,1,78.8
S369,2026-04-03,Friday,12,67,0,0,0.0,10.0,8.0,9,0,100.0
S272,2026-04-03,Friday,13,59,3,1,0.0,6.0,8.0,5,0,46.9
S300,2026-04-03,Friday,13,75,1,0,0.0,6.0,7.0,6,1,66.6
S233,2026-04-03,Friday,15,80,0,0,1.0,7.0,8.0,6,0,83.3
S170,2026-04-03,Friday,17,115,4,0,0.0,7.0,7.0,5,1,66.8
S138,2026-04-04,Saturday,15,70,2,0,0.0,,4.0,7,0,84.8
S385,2026-04-04,Saturday,18,78,3,0,0.0,8.0,7.0,6,1,72.0
S117,2026-04-05,Sunday,12,25,0,0,1.0,7.0,7.0,4,0,77.3
S147,2026-04-05,Sunday,18,42,1,0,1.0,6.0,6.0,4,1,74.2
S328,2026-04-05,Sunday,21,51,3,0,1.0,5.0,5.0,3,1,67.0
S352,2026-04-06,Monday,10,84,2,0,1.0,7.0,7.0,8,0,89.5
S250,2026-04-06,Monday,14,76,6,0,1.0,7.0,7.0,5,2,60.2
S397,2026-04-06,Monday,15,89,1,1,1.0,4.0,8.0,4,2,57.7
S056,2026-04-06,Monday,16,66,1,1,0.0,6.0,7.0,4,1,64.2
S150,2026-04-08,Wednesday,9,95,1,0,1.0,,9.0,8,0,91.9
S279,2026-04-08,Wednesday,15,75,0,0,0.0,6.0,3.0,4,0,70.9
S036,2026-04-08,Wednesday,16,44,1,0,0.0,6.0,6.0,5,0,70.4
S387,2026-04-09,Thursday,10,87,2,0,1.0,8.0,6.0,6,0,90.6
S045,2026-04-09,Thursday,14,76,1,0,1.0,7.0,7.0,7,0,87.2
S069,2026-04-10,Friday,10,86,2,0,0.0,6.0,6.0,5,2,60.8
S217,2026-04-10,Friday,10,98,2,0,1.0,8.0,8.0,6,0,70.9
S127,2026-04-10,Friday,16,74,2,0,0.0,7.0,7.0,5,1,69.8
S007,2026-04-11,Saturday,10,65,0,0,1.0,8.0,7.0,6,1,87.6
S172,2026-04-11,Saturday,11,81,1,0,1.0,8.0,10.0,6,0,85.2
S280,2026-04-11,Saturday,12,82,3,1,0.0,8.0,6.0,5,0,66.9
S196,2026-04-11,Saturday,13,81,0,0,1.0,6.0,6.0,7,1,82.1
S246,2026-04-11,Saturday,15,49,1,0,1.0,7.0,8.0,5,1,76.1
S001,2026-04-11,Saturday,16,102,5,0,1.0,6.0,5.0,5,0,58.8
S087,2026-04-12,Sunday,9,81,1,0,0.0,8.0,8.0,8,0,86.6
S010,2026-04-12,Sunday,13,49,0,0,0.0,4.0,4.0,5,1,60.1
S376,2026-04-12,Sunday,13,86,4,0,0.0,4.0,9.0,5,0,77.9
S359,2026-04-12,Sunday,14,88,4,0,0.0,8.0,6.0,7,2,71.9
S133,2026-04-12,Sunday,15,89,2,1,0.0,7.0,7.0,6,1,75.6
S218,2026-04-12,Sunday,16,36,3,0,1.0,9.0,7.0,5,0,80.7
S243,2026-04-12,Sunday,16,50,0,0,1.0,8.0,6.0,6,1,78.5
S033,2026-04-12,Sunday,19,77,2,0,1.0,6.0,4.0,5,0,73.8
S258,2026-04-13,Monday,13,58,3,0,1.0,7.0,8.0,4,0,69.3
S171,2026-04-13,Monday,16,86,2,0,0.0,6.0,6.0,6,1,79.1
S310,2026-04-14,Tuesday,10,116,0,0,1.0,6.0,7.0,8,0,89.0
S322,2026-04-14,Tuesday,12,86,0,0,1.0,6.0,8.0,8,1,87.7
S120,2026-04-14,Tuesday,18,24,0,0,0.0,9.0,6.0,6,0,90.2
S313,2026-04-15,Wednesday,9,52,2,0,0.0,8.0,5.0,6,0,91.6
S198,2026-04-15,Wednesday,11,89,0,0,1.0,7.0,9.0,6,0,87.1
S386,2026-04-15,Wednesday,14,53,0,1,0.0,4.0,7.0,4,1,65.6
S365,2026-04-15,Wednesday,15,95,4,0,0.0,7.0,6.0,7,2,68.8
S018,2026-04-16,Thursday,10,61,1,0,1.0,7.0,7.0,6,0,89.1
S074,2026-04-16,Thursday,14,116,4,0,1.0,5.0,3.0,5,0,59.9
